"X","gene_id","gene_name","gene_start","gene_end","gene_strand","gene_length","gene_description","tf_family","number_figure","T0.T360","T20.T360","T50.T360","T90.T360","T120.T360","T260.T360","Bd"
"sRNA00304","sRNA00304","-",3416866,3416964,"+",99,"-","-",1,0.385119081357123,-6.79134045379057,-7.74545273604976,-9.80290672030493,-9.58403196796367,-5.76848434231181,NA
"sRNA00274","sRNA00274","-",3106088,3106164,"+",77,"-","-",1,0.170744277186885,-7.23126313634616,-9.12801981597498,-8.86254927999904,-9.33555310907069,-6.56083912780192,NA
"sRNA00234","sRNA00234","-",2781560,2781625,"+",66,"-","-",1,-0.435914190158341,-5.01155445557219,-5.9488724679251,-6.58240898198579,-6.74324535053614,-4.55966270413541,NA
"sRNA00036","sRNA00036","-",491272,491330,"+",59,"-","-",1,0.0595646709702192,-4.25894987620942,-5.48384911759844,-7.71567371807743,-6.70836563415151,-4.16904296210638,NA
"BD_RS18275","BD_RS18275","BD_RS18275",2780884,2781498,"+",615,"hypothetical protein && -","-",1,0.492004774153872,-6.62321895995915,-7.19404455798831,-8.47945000355296,-9.27252072819673,-5.01608927306493,"Bd2871"
"BD_RS18025","BD_RS18025","BD_RS18025",320408,320941,"-",534,"HNH endonuclease && PF01844:HNH endonuclease","HNH",1,0.605925453252703,-4.31121651801463,-5.5169745986798,-5.52700670596102,-5.23026015437456,-3.22521507934043,"S18025"
"BD_RS18020","BD_RS18020","ssrS",182914,183093,"-",180,"6S RNA && -","-",1,0.114939576591068,-5.86212891495221,-6.10615904739477,-5.93819452830757,-5.05501737888577,-4.66609411384558,"S18020"
"BD_RS17690","BD_RS17690","BD_RS17690",3729190,3729825,"-",636,"hypothetical protein && -","-",1,0.643379093146308,-5.60501328767455,-5.68191950299659,-5.95336592675015,-6.14650976637171,-2.56898195585095,"Bd3867"
"BD_RS17250","BD_RS17250","BD_RS17250",3645842,3647095,"-",1254,"hypothetical protein && -","-",1,0.821046067572082,-4.42608385896044,-5.99861696712424,-6.21773704824604,-6.42168897981673,-2.72007943371839,"Bd3772"
"BD_RS17085","BD_RS17085","BD_RS17085",3612257,3612649,"+",393,"hypothetical protein && -","-",1,0.257219554936137,-5.21040777768732,-6.29601637327884,-6.68221595509947,-7.16491466165265,-3.93314229752079,"Bd3737"
