ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE77685.1	11496000	10829000	10055000	11488000	1	-2.5	Cytoplasmic
CAE77686.1	79455000	91443000	120870000	123330000	1	-1.46	Cytoplasmic
CAE77687.1	1844000	2185700	2078400	1935000	NA	NA	Cytoplasmic
CAE77688.1	117740000	119280000	120890000	126630000	1	-0.682	Cytoplasmic
CAE77689.1	119350000	129740000	144050000	142660000	1	-0.492	Cytoplasmic
CAE77690.1	2251900	2349100	2683900	2831600	NA	NA	Unknown
CAE77693.1	23100000	24377000	25520000	27438000	0	2.84	Cytoplasmic Membrane
CAE77694.1	1274600000	1219200000	1607500000	1765500000	0	1.67	Cytoplasmic Membrane
CAE77696.1	826520	904740	751990	802920	0	2.72	Unknown
CAE77698.1	60319000	55994000	62955000	63394000	0	-1.63	Cytoplasmic
CAE77699.1	4831600	4322700	8420800	7017000	0	1.36	NA
CAE77700.1	50763000	44511000	57740000	56401000	0	1.19	NA
CAE77701.1	15982000	20914000	21573000	23203000	0	-0.0572	Cytoplasmic Membrane
CAE77702.1	315700000	259030000	330990000	335400000	0	1.14	Cytoplasmic Membrane
CAE77703.1	18974000	13450000	13982000	18609000	0	-0.615	NA
CAE77704.1	581840000	630620000	679390000	693230000	0	-1.62	Unknown
CAE77705.1	542760000	541170000	517620000	533760000	0	-1.75	Unknown
CAE77706.1	NA	NA	NA	NA	0	4.58	Cytoplasmic Membrane
CAE77707.1	140440000	140810000	160280000	145390000	0	4.54	Cytoplasmic Membrane
CAE77708.1	240110000	247440000	265670000	269950000	0	4.45	Cytoplasmic
CAE77709.1	6837500	8357600	6391800	5824900	NA	NA	Unknown
CAE77712.1	12100000	14725000	17774000	16937000	0	-2.72	Cytoplasmic
CAE77713.1	7539300	9126100	7030500	10470000	0	0.182	NA
CAE77714.1	556540000	613150000	556150000	696130000	0	0.0245	Cytoplasmic
CAE77716.1	720160000	757600000	820670000	897020000	0	-1.36	Cytoplasmic
